,chrom,start,end,hops,TTAAs,lambda,pValue,negLog10pValue,density
0,chr1,796207,858038,50,370,25.86427219819096,1.6542294540598632e-05,4.781404250696058,0.0008086558522424027
1,chr1,858038,858094,8,1,0.06990343837348909,1.3289015404988832e-14,13.876507195131056,0.14285714285714285
2,chr1,858094,1012589,40,359,25.095334376082583,0.0036641485063624085,2.436026932878992,0.0002589080552768698
3,chr1,1012589,1014820,18,3,0.20971031512046726,7.880552100153053e-29,28.10344335539742,0.008068130883012102
4,chr1,1014820,1128772,10,163,11.39426045487872,0.7007024481239923,0.15446636515965195,8.775624824487503e-05
5,chr1,1128772,1137708,12,18,1.2582618907228036,1.0335332311731724e-08,7.985675554950466,0.0013428827215756492
6,chr1,1137708,1656575,68,805,56.27226789065871,0.07047421753852386,1.151969737316422,0.00013105477897033344
7,chr1,1656575,1889537,75,782,54.66448880806846,0.0051964134799357825,2.284296299302243,0.0003219409174028382
8,chr1,1889537,5996453,293,12178,851.2840725123501,1.0,-0.0,7.134307105380291e-05
9,chr1,5996453,6303842,55,655,45.78675213463535,0.10137802229782811,0.9940561853311798,0.00017892637667580818
10,chr1,6303842,6304611,4,2,0.13980687674697817,1.4237806936847694e-05,4.846556900346213,0.005201560468140442
11,chr1,6304611,6304639,9,1,0.06990343837348909,1.0313586350689579e-16,15.986590290925761,0.32142857142857145
12,chr1,6304639,6408000,8,245,17.126342401504825,0.9949773637196733,0.002186799579364035,7.739863197917977e-05
13,chr1,6408000,6421886,14,43,3.0058478500600305,3.4771885932605456e-06,5.458771753725373,0.0010082097076191847
14,chr1,6421886,6607049,14,392,27.40214784240772,0.998205414446307,0.0007800787718636817,7.560905796514423e-05
15,chr1,6607049,6611836,6,15,1.0485515756023362,0.0007581336825317147,3.1202542080000426,0.0012533946104031752
16,chr1,6611836,6612778,13,7,0.48932406861442357,9.405411115839304e-15,14.026622216441277,0.013800424628450107
17,chr1,6612778,6869690,80,1358,94.92886931119818,0.9465214307864708,0.023869548454605566,0.0003113906707355048
18,chr1,6869690,6871405,8,18,1.2582618907228036,5.134714147934365e-05,4.289483728781456,0.004664723032069971
19,chr1,6871405,7325289,96,2149,150.22248906462804,0.9999990936356179,3.9362922812667374e-07,0.00021150778613037693
20,chr1,7325289,7334576,22,47,3.285461603553987,8.993920555609193e-12,11.046050952926953,0.002368902767309142
21,chr1,7334576,7958101,134,2452,171.40323089179523,0.9986491916162913,0.0005870452092731352,0.000214907180947035
22,chr1,7958101,7962470,10,22,1.5378756442167598,5.082234775363623e-06,5.293945276458063,0.0022888532845044634
23,chr1,7962470,7962489,3,1,0.06990343837348909,5.4027553391178317e-05,4.26738469880855,0.15789473684210525
24,chr1,7962489,8019632,30,293,20.481707443432303,0.028530620645493616,1.5446887807445604,0.0005249986875032812
25,chr1,8019632,8025383,37,60,4.194206302409345,1.344026832264928e-22,21.871592060904014,0.006433663710659016
26,chr1,8025383,8120767,93,509,35.580850132105944,8.958510606730026e-16,15.047764187775957,0.0009750062903631637
27,chr1,8120767,8121906,16,4,0.27961375349395634,5.129535732225949e-23,22.28992194055226,0.014047410008779631
28,chr1,8121906,8174832,18,213,14.889432373553175,0.24184239315711561,0.6164675682376688,0.000340097494615123
29,chr1,8174832,8194334,30,101,7.060247275722397,1.2184821415722402e-10,9.914180831578532,0.0015383037637165418
30,chr1,8194334,8194820,23,4,0.27961375349395634,5.520826694748339e-36,35.25799588566113,0.047325102880658436
31,chr1,8194820,8669450,124,2716,189.85773862239637,0.9999998586155524,6.140248975766129e-08,0.00026125613635884795
32,chr1,8669450,8701268,29,248,17.336052716625293,0.006426219812080653,2.192044423269253,0.0009114337796215979
33,chr1,8701268,8704358,24,32,2.2369100279516507,4.655120878668007e-17,16.33206903729125,0.007766990291262136
34,chr1,8704358,8711884,4,46,3.215558165180498,0.40094204764787256,0.3969183959722862,0.0005314908317831517
35,chr1,8711884,8713406,21,23,1.607779082590249,9.057382761000116e-17,16.042997278776202,0.013797634691195795
36,chr1,8713406,8726694,16,115,8.038895412951245,0.008588101360135509,2.0661028384919877,0.0012040939193257074
37,chr1,8726694,8813961,24,568,39.7051529961418,0.9970815029374778,0.0012693403550506613,0.0002750180480594039
38,chr1,8813961,8823776,29,61,4.264109740782835,3.410441500472163e-15,14.467189395550815,0.002954661232806928
39,chr1,8823776,8878490,23,203,14.190397989818285,0.019150728573739444,1.7178146990041971,0.0004203677303797931
40,chr1,8878490,8880245,11,8,0.5592275069879127,2.5124408040111178e-11,10.599904161927348,0.0062678062678062675
41,chr1,8880245,8910356,22,108,7.5495713443368215,1.4244005896364214e-05,4.846367855219778,0.0007306300023247318
42,chr1,8910356,8915332,33,25,1.7475859593372272,2.116897853685876e-30,29.6743000974132,0.006631832797427652
43,chr1,8915332,8915447,10,1,0.06990343837348909,7.20494848203625e-19,18.142369120200076,0.08695652173913043
44,chr1,8915447,8918437,12,13,0.9087446988553581,2.86815888219972e-10,9.542396794513515,0.004013377926421404
45,chr1,8918437,9124450,36,761,53.196516602225195,0.9947578341591741,0.0022826319064273987,0.0001747462538771825
46,chr1,9124450,9130076,16,24,1.677682520963738,3.899156625560455e-11,10.409029319248939,0.0028439388553146107
47,chr1,9130076,9900952,127,2483,173.5702374813734,0.999908914714464,3.955963856871917e-05,0.00016474763775237522
48,chr1,9900952,9950372,25,235,16.427308017769935,0.029141008800992452,1.535495417935935,0.0005058680696074464
49,chr1,9950372,9951367,21,9,0.6291309453614018,6.376380186526327e-25,24.195425796381702,0.021105527638190954
50,chr1,9951367,10298950,73,1781,124.49802374318406,0.9999997706140528,9.962106253695984e-08,0.0002100217789707782
